"","date","NUM_COLLISIONS","no_v","one_v","two_v","three_v","four_v","five_v","year","mo","da","rain_drizzle","snow_ice_pellets","hail","thunder","wdsp","visib","prcp","temp"
"1","2012-07-01",538,0,47,452,32,7,0,2012,7,1,0,0,0,0,4.1,9.7,0,83.6
"2","2012-07-02",564,0,54,470,35,3,2,2012,7,2,0,0,0,0,3.8,10,0,80.3
"3","2012-07-03",664,0,61,562,35,4,2,2012,7,3,0,0,0,0,2.9,10,0,79.8
"4","2012-07-04",432,0,52,345,19,13,3,2012,7,4,1,0,0,0,3.6,9.2,0.06,81.8
"5","2012-07-05",591,0,43,497,37,9,5,2012,7,5,1,0,0,0,3.8,9.4,0,86.7
"6","2012-07-06",638,0,48,544,38,4,4,2012,7,6,0,0,0,0,3.1,10,0,81.9
"7","2012-07-07",490,0,51,413,23,3,0,2012,7,7,0,0,0,0,3.1,9.5,0,84.9
"8","2012-07-08",464,0,49,376,28,11,0,2012,7,8,1,0,0,0,3.1,8.5,0.59,80.6
"9","2012-07-09",533,0,54,441,28,8,2,2012,7,9,0,0,0,0,3.5,10,0.09,78.5
"10","2012-07-10",524,0,60,425,32,6,1,2012,7,10,0,0,0,0,3.4,10,0,76.5
"11","2012-07-11",565,0,52,478,30,5,0,2012,7,11,0,0,0,0,1.9,10,0,77.1
"12","2012-07-12",577,0,52,487,32,3,3,2012,7,12,0,0,0,0,2.3,10,0,77.4
"13","2012-07-13",603,0,50,514,27,10,2,2012,7,13,0,0,0,0,3,9.9,0,78.9
"14","2012-07-14",536,0,59,437,31,8,1,2012,7,14,0,0,0,0,3.5,10,0,78.5
"15","2012-07-15",494,0,43,420,23,8,0,2012,7,15,0,0,0,0,2.8,9.1,0,79.7
"16","2012-07-16",528,0,50,446,26,5,1,2012,7,16,1,0,0,0,4,9.2,0.26,79
"17","2012-07-17",648,0,56,558,27,5,2,2012,7,17,0,0,0,0,3.5,9.4,0,84.6
"18","2012-07-18",559,0,54,469,31,4,1,2012,7,18,1,0,0,0,3.7,7.2,0,85.3
"19","2012-07-19",522,0,53,417,38,10,4,2012,7,19,1,0,0,0,3.4,7.5,1.76,73.3
"20","2012-07-20",604,0,42,512,41,5,4,2012,7,20,1,0,0,0,6.5,7.4,0.17,67.2
"21","2012-07-21",528,0,55,426,37,7,3,2012,7,21,1,0,0,0,4.1,9.8,0.43,68.1
"22","2012-07-22",498,0,56,399,36,6,1,2012,7,22,0,0,0,0,2,10,0,72.5
"23","2012-07-23",505,0,50,421,22,9,3,2012,7,23,1,0,0,0,3,8.9,0,76
"24","2012-07-24",574,0,46,497,25,4,2,2012,7,24,1,0,0,0,6,8.1,0.15,80.3
"25","2012-07-25",612,0,61,509,37,3,2,2012,7,25,0,0,0,0,4.2,10,0,76.5
"26","2012-07-26",604,0,54,510,32,5,3,2012,7,26,1,0,0,0,4.3,8.9,0,78
"27","2012-07-27",638,0,58,536,34,8,2,2012,7,27,1,0,0,0,4.4,9.1,0.6,76.6
"28","2012-07-28",513,0,56,420,26,8,3,2012,7,28,1,0,0,0,3.9,7,0,75.5
"29","2012-07-29",376,0,37,312,18,7,2,2012,7,29,1,0,0,0,3.2,9.4,0.18,71.7
"30","2012-07-30",530,0,62,438,22,7,1,2012,7,30,0,0,0,0,2.2,10,0.01,73.1
"31","2012-07-31",540,0,59,444,32,3,2,2012,7,31,1,0,0,0,3.8,10,0,73.4
"32","2012-08-01",616,0,45,521,41,8,1,2012,8,1,1,0,0,0,2.5,7.8,0.55,72.2
"33","2012-08-02",570,0,57,476,34,3,0,2012,8,2,0,0,0,0,2.7,6.2,0.11,75
