date,year,mo,da,temp,dewp,visib,wdsp,mxpsd,gust,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,collision_date,num_collisions,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5
2012-07-01,2012,07,01,83.6,63.0,9.7,4.1,9.9,18.1,93.0,66.0,0.0,0,0,0,0,0,0,2012-07-01,538,538,491,39,7,0
2012-07-02,2012,07,02,80.3,54.1,10.0,3.8,15.0,999.9,88.0,66.9,0.0,0,0,0,0,0,0,2012-07-02,564,564,510,40,5,2
2012-07-03,2012,07,03,79.8,56.7,10.0,2.9,12.0,999.9,88.0,63.0,0.0,0,0,0,0,0,0,2012-07-03,664,664,603,41,6,2
2012-07-04,2012,07,04,81.8,65.6,9.2,3.6,11.1,999.9,91.0,68.0,0.06,0,1,0,0,0,0,2012-07-04,432,432,380,35,16,3
2012-07-05,2012,07,05,86.7,64.3,9.4,3.8,15.0,999.9,93.9,70.0,99.99,0,1,0,0,0,0,2012-07-05,591,591,548,51,14,5
2012-07-06,2012,07,06,81.9,62.3,10.0,3.1,9.9,999.9,91.0,66.9,0.0,0,0,0,0,0,0,2012-07-06,638,638,590,46,8,4
2012-07-07,2012,07,07,84.9,65.9,9.5,3.1,14.0,17.1,95.0,70.0,0.0,0,0,0,0,0,0,2012-07-07,490,490,439,26,3,0
2012-07-08,2012,07,08,80.6,65.5,8.5,3.1,8.0,15.9,90.0,70.0,0.59,0,1,0,0,0,0,2012-07-08,464,464,415,39,11,0
2012-07-09,2012,07,09,78.5,56.8,10.0,3.5,9.9,999.9,84.0,68.0,0.09,0,0,0,0,0,0,2012-07-09,533,533,479,38,10,2
2012-07-10,2012,07,10,76.5,56.3,10.0,3.4,9.9,999.9,86.0,61.0,0.0,0,0,0,0,0,0,2012-07-10,524,524,464,39,7,1
2012-07-11,2012,07,11,77.1,62.0,10.0,1.9,7.0,999.9,84.0,64.9,0.0,0,0,0,0,0,0,2012-07-11,565,565,513,35,5,0
2012-07-12,2012,07,12,77.4,60.2,10.0,2.3,7.0,999.9,88.0,57.0,0.0,0,0,0,0,0,0,2012-07-12,577,577,525,38,6,3
2012-07-13,2012,07,13,78.9,60.7,9.9,3.0,7.0,999.9,87.1,63.0,0.0,0,0,0,0,0,0,2012-07-13,603,603,553,39,12,2
2012-07-14,2012,07,14,78.5,62.7,10.0,3.5,13.0,19.0,82.0,68.0,0.0,1,0,0,0,0,0,2012-07-14,536,536,477,40,9,1
2012-07-15,2012,07,15,79.7,68.6,9.1,2.8,13.0,999.9,87.1,70.0,0.0,0,0,0,0,0,0,2012-07-15,494,494,451,31,8,0
2012-07-16,2012,07,16,79.0,67.9,9.2,4.0,14.0,22.0,91.0,70.0,0.26,0,1,0,0,0,0,2012-07-16,528,528,478,32,6,1
2012-07-17,2012,07,17,84.6,63.3,9.4,3.5,9.9,18.1,93.9,70.0,0.0,0,0,0,0,0,0,2012-07-17,648,648,592,34,7,2
2012-07-18,2012,07,18,85.3,69.1,7.2,3.7,13.0,20.0,100.0,73.0,0.0,1,1,0,0,0,0,2012-07-18,559,559,505,36,5,1
2012-07-19,2012,07,19,73.3,67.2,7.5,3.4,15.0,18.1,75.9,68.0,1.76,0,1,0,0,0,0,2012-07-19,522,522,469,52,14,4
2012-07-20,2012,07,20,67.2,62.8,7.4,6.5,13.0,21.0,73.9,61.0,0.17,0,1,0,0,0,0,2012-07-20,604,604,562,50,9,4
2012-07-21,2012,07,21,68.1,58.5,9.8,4.1,12.0,999.9,77.0,57.9,0.43,0,1,0,0,0,0,2012-07-21,528,528,473,47,10,3
2012-07-22,2012,07,22,72.5,59.4,10.0,2.0,8.0,999.9,82.0,54.0,0.0,0,0,0,0,0,0,2012-07-22,498,498,442,43,7,1
2012-07-23,2012,07,23,76.0,67.2,8.9,3.0,13.0,999.9,86.0,64.0,0.0,0,1,0,0,0,0,2012-07-23,505,505,455,34,12,3
2012-07-24,2012,07,24,80.3,67.3,8.1,6.0,15.0,18.1,90.0,70.0,0.15,0,1,0,0,0,0,2012-07-24,574,574,528,31,6,2
2012-07-25,2012,07,25,76.5,53.5,10.0,4.2,19.0,999.9,84.9,66.9,0.0,0,0,0,0,0,0,2012-07-25,612,612,551,42,5,2
2012-07-26,2012,07,26,78.0,62.4,8.9,4.3,13.0,29.9,87.1,66.9,0.0,1,1,0,0,0,0,2012-07-26,604,604,550,40,8,3
2012-07-27,2012,07,27,76.6,69.3,9.1,4.4,14.0,999.9,87.1,70.0,0.6,0,1,0,0,0,0,2012-07-27,638,638,580,44,10,2
