collision_date,borough,latitude,longitude
2021-04-09,,,
2021-04-18,,,
2022-07-02,,,
2021-04-26,,,
2022-07-07,,,
2021-03-09,,,
2021-04-28,,,
2021-07-15,,,
2021-05-15,,,
2020-12-16,,,
2021-05-31,,,
2021-05-31,,,
2021-06-01,,,
2021-06-03,,,
2021-06-05,,,
2021-05-25,,,
2021-06-25,,,
2021-02-26,,,
2021-04-10,,,
2021-02-26,,,
2021-03-30,,,
2021-02-20,,,
2021-04-06,,,
2021-03-09,,,
2021-02-13,,,
2021-01-28,,,
2020-12-24,,,
2021-02-04,,,
2021-01-22,,,
2021-02-08,,,
2021-01-13,,,
2020-12-19,,,
2021-01-27,,,
2020-12-24,,,
2021-02-09,,,
2021-01-02,,,
2021-01-08,,,
2021-01-31,,,
2020-12-18,,,
2021-01-09,,,
2020-10-18,,,
2020-11-13,,,
2020-11-21,,,
2020-11-16,,,
2020-11-20,,,
2020-11-13,,,
2020-10-15,,,
2020-10-12,,,
2021-07-01,,,
2021-06-30,,,
2021-04-24,,,
2021-07-05,,,
2021-07-06,,,
2021-07-11,,,
2020-09-05,,,
2021-07-17,,,
2021-07-25,,,
2020-08-04,,,
2021-08-05,,,
2021-08-16,,,
2021-08-24,,,
2021-08-24,,,
2021-08-25,,,
2020-06-06,,,
2021-08-26,,,
2021-08-31,,,
2020-05-11,,,
2021-09-04,,,
2021-09-06,,,
2021-09-06,,,
2021-09-08,,,
2021-09-03,,,
2020-10-08,,,
2020-05-07,,,
2020-09-29,,,
2020-09-06,,,
2020-09-13,,,
2020-08-25,,,
2020-09-18,,,
2020-10-05,,,
2020-09-25,,,
2020-09-01,,,
2020-08-19,,,
2020-07-25,,,
2020-07-23,,,
2020-07-23,,,
2020-07-06,,,
2020-08-01,,,
2020-08-04,,,
2020-07-10,,,
2020-04-30,,,
2020-05-04,,,
2020-05-10,,,
2020-05-05,,,
2020-06-09,,,
2020-04-27,,,
2020-06-27,,,
2020-05-08,,,
2020-04-14,,,
2020-05-08,,,
2020-06-20,,,
2020-05-17,,,
2020-06-03,,,
2021-09-10,,,
2021-09-13,,,
2021-09-15,,,
2021-09-17,,,
2021-09-18,,,
2021-09-21,,,
2021-09-24,,,
2021-09-24,,,
2020-02-25,,,
2021-10-02,,,
2021-10-02,,,
2021-10-11,,,
2021-10-22,,,
2021-10-24,,,
2020-01-23,,,
2021-11-01,,,
2020-01-17,,,
2021-11-04,,,
2019-12-26,,,
2021-11-08,,,
2021-11-09,,,
