borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Other Vehicular,Failure to Yield Right-of-Way,,,,MYRTLE AVENUE,2021-04-14T19:40:00,,,,0,0,0,0,0,0,0,0,,FOREST PARK DRIVE,4407383,Carry All,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2022-06-30T21:30:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN BRIDGE,4543627,Sedan,Sedan,,,,
,Unspecified,Unspecified,,,,SHORE PARKWAY,2022-07-01T00:00:00,,,,0,0,1,0,0,0,1,0,,OCEAN PARKWAY,4543608,Taxi,Station Wagon/Sport Utility Vehicle,,,,
,Oversized Vehicle,,,,,SEAGIRT BLVD,2022-07-10T16:42:00,,,,0,0,0,0,0,0,0,0,,BEACH 9TH STREET,4545268,Ambulance,,,,,
,Following Too Closely,Unspecified,,,,,2021-02-06T14:14:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE UPPER          ,4391117,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2021-05-14T10:37:00,,,,0,0,0,0,0,0,0,0,,MOSHOLU PARKWAY,4417108,Sedan,Sedan,,,,
,Unspecified,,,,,,2022-06-04T18:55:00,,,,0,0,1,0,0,0,1,0,,BROOKLYN BATTERY TUNNEL,4547687,Motorcycle,,,,,
,Unspecified,,,,,PIERREPONT STREET,2022-07-17T12:30:00,,,,0,0,0,0,1,0,1,0,,FURMAN STREET,4548212,golf cart,,,,,
,Following Too Closely,Following Too Closely,,,,,2021-05-22T10:00:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE UPPER,4419467,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,EDKOCH UPPER ROADWAY,2022-07-21T13:30:00,,,,0,0,1,0,0,0,1,0,,THOMSON AVENUE,4548351,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,,
