collision_date,NUM_COLLISIONS,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5
2021-04-27,273,272,211,32,10,2
2021-04-28,380,379,316,45,13,6
2021-12-19,291,290,216,32,11,6
2021-05-04,345,343,258,29,9,2
2021-09-21,311,309,241,25,9,4
2021-05-15,321,317,253,51,14,5
2021-09-26,313,310,244,37,10,3
2021-12-24,281,277,203,40,14,3
2021-05-31,275,272,198,33,11,1
2022-03-31,281,279,223,31,10,1
2021-10-03,328,328,266,40,13,4
2021-06-03,288,285,214,23,5,3
2021-12-29,192,192,144,29,12,3
2022-01-04,254,252,192,25,6,3
2021-06-15,369,369,298,35,8,3
2021-06-22,290,289,226,21,5,2
2022-01-08,235,235,168,27,6,3
2022-04-09,293,293,224,37,9,2
2022-01-17,201,199,131,19,7,5
2021-07-23,324,324,243,28,9,2
2021-11-01,331,327,247,26,8,2
2022-01-22,267,265,198,28,11,3
2021-08-16,301,298,241,26,8,1
2021-11-04,317,316,236,15,3,0
2021-09-06,299,299,234,37,10,3
2021-11-11,292,290,226,23,7,2
2021-11-14,269,268,205,37,9,3
2021-11-17,317,316,250,24,3,1
2022-02-09,272,271,201,23,8,1
2022-07-15,312,312,246,27,6,1
2022-03-11,329,325,245,29,8,0
2016-10-25,566,565,488,33,6,3
2016-10-11,739,737,624,36,6,3
2016-09-26,623,623,547,38,5,0
2016-08-20,579,579,497,39,8,1
2016-08-24,635,634,555,37,5,0
2016-09-10,598,598,523,40,7,1
2016-08-18,635,633,551,36,10,3
2016-08-14,521,521,449,38,11,2
2016-07-14,741,740,644,39,4,0
2016-06-29,687,685,603,42,9,4
2016-06-24,811,811,731,47,6,0
2016-06-18,700,700,614,54,11,2
2016-07-23,650,648,555,61,9,0
2016-08-02,602,602,511,34,10,2
2016-08-08,632,629,535,37,5,3
2016-06-25,688,685,591,56,15,5
2016-07-26,688,686,607,41,9,3
2016-08-10,618,617,530,43,9,1
2016-07-17,574,573,481,51,15,3
2016-07-06,680,678,590,41,6,0
2016-07-04,488,488,390,42,14,5
2016-07-21,731,730,619,40,8,1
2016-07-01,752,752,650,38,6,1
2016-07-12,662,662,568,35,9,0
2016-07-18,725,724,608,46,11,3
2016-07-07,603,601,514,32,6,0
2016-07-11,618,617,530,34,6,0
2016-06-14,717,717,636,40,6,2
2016-06-16,689,686,598,44,9,1
2016-06-20,745,743,647,48,7,1
2016-06-19,559,558,484,63,18,4
2016-06-23,643,643,555,29,6,1
2016-06-07,709,708,619,40,6,1
2016-06-12,587,584,478,42,12,2
2016-05-29,566,565,492,50,12,0
2016-05-28,627,626,541,49,7,4
2016-05-12,744,744,645,55,10,2
2016-05-23,652,649,552,40,7,3
2016-05-21,568,566,489,42,8,2
2016-04-17,568,565,472,49,10,2
2016-05-02,589,586,481,31,7,4
2016-03-29,683,678,585,43,5,3
2016-04-23,649,644,528,54,10,3
2016-04-27,510,508,449,21,7,0
2016-04-30,581,579,495,43,9,3
2016-04-19,732,725,627,34,5,2
2016-03-23,621,619,532,35,6,0
2016-04-10,499,497,431,31,9,3
2016-03-18,644,639,548,28,3,0
2016-03-22,628,624,519,36,9,1
2016-03-16,629,625,531,26,6,1
2016-04-02,597,596,477,39,10,1
2016-04-05,672,671,569,41,5,1
2016-03-24,635,633,546,45,10,5
2016-03-31,652,647,546,29,5,1
2016-03-30,650,648,560,32,6,1
2016-01-23,402,401,342,38,9,3
2016-02-26,476,474,418,34,6,0
2016-03-06,500,497,432,38,11,1
2016-03-04,685,684,603,44,15,2
2016-02-23,623,620,519,32,6,2
2016-03-05,601,600,522,39,12,3
2016-02-20,555,552,493,43,9,3
2016-02-28,509,508,455,38,12,7
2016-02-27,388,388,340,32,8,3
2016-02-11,622,620,521,28,4,2
2016-02-05,607,603,494,35,9,5
2016-01-24,517,515,456,17,4,2
2016-01-27,670,667,579,35,5,1
2016-02-16,615,614,518,35,5,1
2016-02-13,480,480,428,31,12,7
2016-02-06,553,552,491,35,12,2
2016-01-25,658,655,575,24,1,0
2016-01-28,681,680,597,28,7,2
2016-01-30,596,595,514,35,7,2
2016-01-26,734,730,638,25,4,0
2016-01-22,702,697,600,34,7,2
2016-01-04,601,596,510,35,8,3
2016-01-19,662,658,565,33,4,1
2015-12-25,321,321,280,33,7,3
2015-12-31,527,525,462,26,8,1
2015-12-29,533,531,442,21,6,1
2016-01-15,722,718,647,49,9,3
2016-01-06,625,620,544,32,6,1
2016-01-13,605,599,527,41,8,2
2016-01-01,393,393,346,41,19,4
2015-12-22,699,697,627,53,7,0
2015-12-23,805,802,668,34,10,3
2015-11-15,500,500,437,52,9,3
2015-10-26,698,697,616,50,8,3
2015-10-22,666,663,573,35,2,1
2015-12-04,680,678,595,36,6,1
2015-11-26,383,383,344,33,11,3
2015-12-12,578,575,513,42,8,4
2015-12-13,549,546,486,30,3,1
2015-12-07,668,667,581,33,9,3
2015-11-28,508,506,445,39,11,4
2015-12-01,746,741,622,44,10,1
2015-11-27,480,479,417,35,8,2
2015-11-25,717,714,642,48,6,2
2015-12-02,655,650,543,35,6,2
2015-12-06,485,484,420,32,10,1
2015-12-10,668,666,591,42,7,1
2015-11-29,453,451,417,37,8,2
2015-12-14,637,635,539,29,5,2
2015-11-21,597,596,523,42,12,2
2015-11-03,655,653,557,39,6,1
2015-11-02,613,612,537,36,2,0
2015-11-10,757,753,651,54,11,1
2015-11-17,684,682,599,40,5,0
2015-11-14,613,611,542,50,9,2
2015-11-20,819,816,703,52,13,5
2015-11-09,615,613,540,35,8,2
2015-11-16,618,615,539,38,5,2
2015-10-30,688,683,604,46,5,1
2015-10-21,720,716,641,37,3,1
2015-10-23,742,739,637,50,7,2
2015-10-13,724,721,642,44,8,2
2015-10-28,689,684,564,51,10,3
2015-10-18,551,550,492,52,11,1
2015-10-27,631,631,546,32,4,2
2022-05-27,314,313,241,25,7,3
2022-06-05,299,297,233,39,9,5
2022-08-03,324,324,249,25,11,3
2022-06-08,311,309,240,26,7,3
2022-06-09,317,316,249,31,6,3
2022-09-02,286,285,227,17,3,1
2020-12-04,372,366,280,44,12,6
2021-03-13,252,252,208,33,8,0
2021-04-01,263,262,212,21,6,2
2021-03-02,268,267,194,24,6,4
2021-04-06,318,318,262,28,7,4
2021-03-31,284,282,210,32,6,0
2021-02-11,299,298,232,21,8,2
2021-03-27,325,323,247,33,8,2
2021-02-22,245,244,173,24,4,2
2021-03-03,244,243,182,27,4,2
2021-02-12,290,289,231,37,12,5
2021-03-28,198,196,130,18,5,3
2021-03-20,283,282,222,28,5,3
2021-01-15,272,272,193,28,5,2
2021-01-31,297,297,211,40,9,2
2021-01-21,251,249,196,21,8,2
2020-11-09,318,318,249,35,10,4
