"","date","NUM_COLLISIONS","year","mo","da","temp","dewp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"1","2021-04-27",273,2021,4,27,48.1,33.1,10,11.6,20,25.1,57.9,39,0,0,0,0,0,0,0
"2","2021-04-28",380,2021,4,28,52.5,44.4,8.7,7.5,13,33,61,39.9,0.04,1,0,0,0,0,0
"3","2021-12-19",291,2021,12,19,45.6,41.7,7.8,14.4,25.1,35,54,37.9,0.01,1,1,0,0,0,0
"4","2021-05-04",345,2021,5,4,51.7,50.3,4.3,10,24.1,31.1,66.9,48,0.7,1,1,0,0,0,0
"5","2021-09-21",311,2021,9,21,66.2,59.7,10,8.1,12,33,75.9,52,0,0,0,0,0,0,0
"6","2021-05-15",321,2021,5,15,58.9,47.2,10,7.9,11.1,33,73,50,0,0,0,0,0,0,0
"7","2021-09-26",313,2021,9,26,70,64.1,8.3,10,17.1,25.1,77,66.9,0.39,1,1,0,0,0,0
"8","2021-12-24",281,2021,12,24,31.5,18.3,8.5,5.8,12,33,37,28.9,0,1,0,0,0,1000,1000
"9","2021-05-31",275,2021,5,31,57.9,56.1,3.3,8.5,15,33,61,54,0.81,1,1,0,0,0,0
"10","2022-03-31",281,2022,3,31,49.2,42.6,8.3,14.6,22.9,32.1,57.9,32,0,0,0,0,0,0,0
"11","2021-10-03",328,2021,10,3,68.9,64.2,9.2,8.9,14,19,75,54,0,0,0,0,0,0,0
"12","2021-06-03",288,2021,6,3,59.2,57.4,5.4,6,13,33,68,54,0,1,1,0,0,0,0
"13","2021-12-29",192,2021,12,29,43.9,36.4,10,4.1,9.9,33,48.9,39.9,0.01,1,0,0,0,0,10000
"14","2022-01-04",254,2022,1,4,30.2,20.6,8.4,14.4,27,35,41,25,0.05,1,0,0,0,1000,1000
"15","2021-06-15",369,2021,6,15,68,64.1,4.7,6.9,12,33,73,57.9,0,1,0,0,0,0,0
"16","2021-06-22",290,2021,6,22,70.6,67,4.6,8.6,17.1,24.1,75.9,66,0,1,1,0,0,0,0
"17","2022-01-08",235,2022,1,8,26.6,15.2,10,13,20,32.1,41,18,0.17,0,0,0,0,0,0
"18","2022-04-09",293,2022,4,9,48.8,44.2,8.9,9.3,18.1,33,55.9,39.9,0,1,0,0,0,0,0
"19","2022-01-17",201,2022,1,17,45.7,38.4,6.5,22.7,35.9,48,54,36,0.41,1,0,0,0,0,10000
"20","2021-07-23",324,2021,7,23,73.6,62,10,6.6,11.1,33,82,66.9,0,0,0,0,0,0,0
"21","2021-11-01",331,2021,11,1,59.3,46.4,10,9.8,15,26,66.9,53.1,0.43,0,0,0,0,0,0
"22","2022-01-22",267,2022,1,22,31.2,20.6,8.6,13.5,19,24.1,35.1,27,0,1,0,1,0,0,0
"23","2021-08-16",301,2021,8,16,70.2,60.2,10,3.2,8,33,82,59,0,0,0,0,0,0,0
"24","2021-11-04",317,2021,11,4,48.5,33.9,10,5.1,8.9,33,55,43,0.02,0,0,0,0,0,0
