"","collision_date","NUM_COLLISIONS","vehicle_1","vehicle_2","vehicle_3","vehicle_4","vehicle_5","date","year","no_v","one_v","two_v","three_v","four_v","five_v"
"1","2021-04-27",273,272,211,32,10,2,2021-04-27,2021,1,61,179,22,8,2
"2","2021-04-28",380,379,316,45,13,6,2021-04-28,2021,1,63,271,32,7,6
"3","2021-12-19",291,290,216,32,11,6,2021-12-19,2021,1,74,184,21,5,6
"4","2021-05-04",345,343,258,29,9,2,2021-05-04,2021,2,85,229,20,7,2
"5","2021-09-21",311,309,241,25,9,4,2021-09-21,2021,2,68,216,16,5,4
"6","2021-05-15",321,317,253,51,14,5,2021-05-15,2021,4,64,202,37,9,5
"7","2021-09-26",313,310,244,37,10,3,2021-09-26,2021,3,66,207,27,7,3
"8","2021-12-24",281,277,203,40,14,3,2021-12-24,2021,4,74,163,26,11,3
"9","2021-05-31",275,272,198,33,11,1,2021-05-31,2021,3,74,165,22,10,1
"10","2022-03-31",281,279,223,31,10,1,2022-03-31,2022,2,56,192,21,9,1
"11","2021-10-03",328,328,266,40,13,4,2021-10-03,2021,0,62,226,27,9,4
"12","2021-06-03",288,285,214,23,5,3,2021-06-03,2021,3,71,191,18,2,3
"13","2021-12-29",192,192,144,29,12,3,2021-12-29,2021,0,48,115,17,9,3
"14","2022-01-04",254,252,192,25,6,3,2022-01-04,2022,2,60,167,19,3,3
"15","2021-06-15",369,369,298,35,8,3,2021-06-15,2021,0,71,263,27,5,3
"16","2021-06-22",290,289,226,21,5,2,2021-06-22,2021,1,63,205,16,3,2
"17","2022-01-08",235,235,168,27,6,3,2022-01-08,2022,0,67,141,21,3,3
"18","2022-04-09",293,293,224,37,9,2,2022-04-09,2022,0,69,187,28,7,2
"19","2022-01-17",201,199,131,19,7,5,2022-01-17,2022,2,68,112,12,2,5
"20","2021-07-23",324,324,243,28,9,2,2021-07-23,2021,0,81,215,19,7,2
"21","2021-11-01",331,327,247,26,8,2,2021-11-01,2021,4,80,221,18,6,2
"22","2022-01-22",267,265,198,28,11,3,2022-01-22,2022,2,67,170,17,8,3
"23","2021-08-16",301,298,241,26,8,1,2021-08-16,2021,3,57,215,18,7,1
"24","2021-11-04",317,316,236,15,3,0,2021-11-04,2021,1,80,221,12,3,0
"25","2021-09-06",299,299,234,37,10,3,2021-09-06,2021,0,65,197,27,7,3
"26","2021-11-11",292,290,226,23,7,2,2021-11-11,2021,2,64,203,16,5,2
"27","2021-11-14",269,268,205,37,9,3,2021-11-14,2021,1,63,168,28,6,3
"28","2021-11-17",317,316,250,24,3,1,2021-11-17,2021,1,66,226,21,2,1
"29","2022-02-09",272,271,201,23,8,1,2022-02-09,2022,1,70,178,15,7,1
"30","2022-07-15",312,312,246,27,6,1,2022-07-15,2022,0,66,219,21,5,1
"31","2022-03-11",329,325,245,29,8,0,2022-03-11,2022,4,80,216,21,8,0
"32","2016-10-25",566,565,488,33,6,3,2016-10-25,2016,1,77,455,27,3,3
"33","2016-10-11",739,737,624,36,6,3,2016-10-11,2016,2,113,588,30,3,3
"34","2016-09-26",623,623,547,38,5,0,2016-09-26,2016,0,76,509,33,5,0
"35","2016-08-20",579,579,497,39,8,1,2016-08-20,2016,0,82,458,31,7,1
"36","2016-08-24",635,634,555,37,5,0,2016-08-24,2016,1,79,518,32,5,0
"37","2016-09-10",598,598,523,40,7,1,2016-09-10,2016,0,75,483,33,6,1
"38","2016-08-18",635,633,551,36,10,3,2016-08-18,2016,2,82,515,26,7,3
"39","2016-08-14",521,521,449,38,11,2,2016-08-14,2016,0,72,411,27,9,2
