"","num_collisions","temp","visib","wdsp","prcp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","date","year","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week","isMon","isTue","isWed","isThur","isFri","isSat","isSun"
"1",538,83.6,9.7,4.1,0,0,0,0,0,0,"2012-07-01",2012,0,47,452,32,7,0,"1",1,0,0,0,0,0,0
"2",564,80.3,10,3.8,0,0,0,0,0,0,"2012-07-02",2012,0,54,470,35,3,2,"2",0,1,0,0,0,0,0
"3",664,79.8,10,2.9,0,0,0,0,0,0,"2012-07-03",2012,0,61,562,35,4,2,"3",0,0,1,0,0,0,0
"4",432,81.8,9.2,3.6,0.06,0,1,0,0,0,"2012-07-04",2012,0,52,345,19,13,3,"4",0,0,0,1,0,0,0
"5",591,86.7,9.4,3.8,0,0,1,0,0,0,"2012-07-05",2012,0,43,497,37,9,5,"5",0,0,0,0,1,0,0
"6",638,81.9,10,3.1,0,0,0,0,0,0,"2012-07-06",2012,0,48,544,38,4,4,"6",0,0,0,0,0,1,0
"7",490,84.9,9.5,3.1,0,0,0,0,0,0,"2012-07-07",2012,0,51,413,23,3,0,"7",0,0,0,0,0,0,1
"9",533,78.5,10,3.5,0.09,0,0,0,0,0,"2012-07-09",2012,0,54,441,28,8,2,"2",0,1,0,0,0,0,0
"10",524,76.5,10,3.4,0,0,0,0,0,0,"2012-07-10",2012,0,60,425,32,6,1,"3",0,0,1,0,0,0,0
"11",565,77.1,10,1.9,0,0,0,0,0,0,"2012-07-11",2012,0,52,478,30,5,0,"4",0,0,0,1,0,0,0
"12",577,77.4,10,2.3,0,0,0,0,0,0,"2012-07-12",2012,0,52,487,32,3,3,"5",0,0,0,0,1,0,0
"13",603,78.9,9.9,3,0,0,0,0,0,0,"2012-07-13",2012,0,50,514,27,10,2,"6",0,0,0,0,0,1,0
"14",536,78.5,10,3.5,0,1,0,0,0,0,"2012-07-14",2012,0,59,437,31,8,1,"7",0,0,0,0,0,0,1
"15",494,79.7,9.1,2.8,0,0,0,0,0,0,"2012-07-15",2012,0,43,420,23,8,0,"1",1,0,0,0,0,0,0
"17",648,84.6,9.4,3.5,0,0,0,0,0,0,"2012-07-17",2012,0,56,558,27,5,2,"3",0,0,1,0,0,0,0
"18",559,85.3,7.2,3.7,0,1,1,0,0,0,"2012-07-18",2012,0,54,469,31,4,1,"4",0,0,0,1,0,0,0
"22",498,72.5,10,2,0,0,0,0,0,0,"2012-07-22",2012,0,56,399,36,6,1,"1",1,0,0,0,0,0,0
"23",505,76,8.9,3,0,0,1,0,0,0,"2012-07-23",2012,0,50,421,22,9,3,"2",0,1,0,0,0,0,0
"25",612,76.5,10,4.2,0,0,0,0,0,0,"2012-07-25",2012,0,61,509,37,3,2,"4",0,0,0,1,0,0,0
"26",604,78,8.9,4.3,0,1,1,0,0,0,"2012-07-26",2012,0,54,510,32,5,3,"5",0,0,0,0,1,0,0
"28",513,75.5,7,3.9,0,1,1,0,0,0,"2012-07-28",2012,0,56,420,26,8,3,"7",0,0,0,0,0,0,1
"30",530,73.1,10,2.2,0.01,0,0,0,0,0,"2012-07-30",2012,0,62,438,22,7,1,"2",0,1,0,0,0,0,0
"31",540,73.4,10,3.8,0,0,1,0,0,0,"2012-07-31",2012,0,59,444,32,3,2,"3",0,0,1,0,0,0,0
"34",589,77.9,6,4.4,0,1,0,0,0,0,"2012-08-03",2012,0,55,506,25,1,2,"6",0,0,0,0,0,1,0
"35",568,77.9,5.7,4.1,0,1,0,0,0,0,"2012-08-04",2012,0,59,475,27,7,0,"7",0,0,0,0,0,0,1
"36",518,78.1,5.8,6.1,0,1,1,0,0,0,"2012-08-05",2012,0,57,422,30,5,4,"1",1,0,0,0,0,0,0
"38",547,75.2,10,1.2,0.01,0,0,0,0,0,"2012-08-07",2012,0,61,447,36,3,0,"3",0,0,1,0,0,0,0
"39",528,77.8,8.8,1.1,0,0,0,0,0,0,"2012-08-08",2012,0,51,448,21,7,1,"4",0,0,0,1,0,0,0
"40",581,78.2,9.3,2.3,0,0,0,0,0,0,"2012-08-09",2012,0,63,485,27,4,2,"5",0,0,0,0,1,0,0
"41",617,75.3,7.6,5.4,0,1,1,0,0,0,"2012-08-10",2012,0,53,518,40,5,1,"6",0,0,0,0,0,1,0
"44",504,76.3,9.2,4.3,0.05,0,0,0,0,0,"2012-08-13",2012,0,50,417,32,3,2,"2",0,1,0,0,0,0,0
"45",520,76,9.6,2.3,0,0,0,0,0,0,"2012-08-14",2012,0,51,436,26,4,3,"3",0,0,1,0,0,0,0
"46",602,73.6,6.5,3.5,0.01,1,1,0,0,0,"2012-08-15",2012,0,53,501,40,7,1,"4",0,0,0,1,0,0,0
"48",574,77.9,9.5,3.3,0,0,1,0,0,0,"2012-08-17",2012,0,48,482,34,8,2,"6",0,0,0,0,0,1,0
