"","num_collisions","temp","visib","wdsp","prcp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021","year_2022","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week","isMon","isTue","isWed","isThur","isFri","isSat","isSun","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","day"
"1",538,83.6,9.7,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,452,32,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"2",564,80.3,10,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,470,35,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"3",664,79.8,10,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,562,35,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
"4",432,81.8,9.2,3.6,0.06,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,345,19,13,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"5",591,86.7,9.4,3.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,497,37,9,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
"6",638,81.9,10,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,544,38,4,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
"7",490,84.9,9.5,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,413,23,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7
"8",533,78.5,10,3.5,0.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,441,28,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
"9",524,76.5,10,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,425,32,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
"10",565,77.1,10,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,478,30,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
"11",577,77.4,10,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,487,32,3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
"12",603,78.9,9.9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,514,27,10,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13
"13",536,78.5,10,3.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,437,31,8,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14
"14",494,79.7,9.1,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,420,23,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
"15",648,84.6,9.4,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,558,27,5,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
"16",559,85.3,7.2,3.7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,469,31,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
"17",498,72.5,10,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,399,36,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22
"18",505,76,8.9,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,421,22,9,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23
"19",612,76.5,10,4.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,509,37,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25
"20",604,78,8.9,4.3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,510,32,5,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26
"21",513,75.5,7,3.9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,420,26,8,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28
"22",530,73.1,10,2.2,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,438,22,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30
"23",540,73.4,10,3.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,444,32,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31
"24",589,77.9,6,4.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,506,25,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"25",568,77.9,5.7,4.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,475,27,7,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
"26",518,78.1,5.8,6.1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,422,30,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
"27",547,75.2,10,1.2,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,447,36,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
"28",528,77.8,8.8,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,448,21,7,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"29",581,78.2,9.3,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,63,485,27,4,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
"30",617,75.3,7.6,5.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,518,40,5,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10
"31",504,76.3,9.2,4.3,0.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,417,32,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
"32",520,76,9.6,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,436,26,4,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
"33",602,73.6,6.5,3.5,0.01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,501,40,7,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15
"34",574,77.9,9.5,3.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,482,34,8,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17
"35",540,69.8,8.4,4.1,0.01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,450,27,5,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18
"36",473,71.4,10,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,395,27,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20
"37",482,72.8,10,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,410,28,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21
"38",504,73.8,9.8,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,428,28,7,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22
"39",574,74.7,8.9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,483,36,6,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23
"40",601,77.3,9.3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,505,41,4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24
"41",474,75.7,7.3,3.2,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,383,30,6,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25
"42",471,73.9,10,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,382,28,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26
"43",548,71.9,8.6,2.7,0.01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,460,33,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27
"44",550,73.3,10,4.7,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,473,38,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29
"45",618,72,10,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,532,24,4,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30
"46",701,78.7,9.9,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,585,41,13,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,31
"47",515,81.6,9.9,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,422,33,9,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
"48",421,75.4,9.8,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,352,22,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"49",373,73.8,10,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,301,25,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"50",606,72.6,8.8,4.7,0.02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,486,38,7,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"51",680,77,8.7,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57,577,38,6,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
"52",598,75.3,8.8,5.8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73,487,32,5,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
