"","num_collisions","temp","visib","wdsp","prcp","fog","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021","year_2022","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week_1","day_of_week_2","day_of_week_3","day_of_week_4","day_of_week_5","day_of_week_6","day_of_week_7","isMon","isTue","isWed","isThur","isFri","isSat","isSun","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","day"
"1",538,83.6,9.7,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,452,32,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"2",564,80.3,10,3.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,470,35,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"3",664,79.8,10,2.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,562,35,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
"4",432,81.8,9.2,3.6,0.06,0,1,0,0,0,0,0,0,0,0,0,0,0,52,345,19,13,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"5",591,86.7,9.4,3.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,497,37,9,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
"6",638,81.9,10,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,544,38,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6
"7",490,84.9,9.5,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,413,23,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7
"8",464,80.6,8.5,3.1,0.59,0,1,0,0,0,0,0,0,0,0,0,0,0,49,376,28,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
"9",533,78.5,10,3.5,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,54,441,28,8,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
"10",524,76.5,10,3.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,425,32,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
"11",565,77.1,10,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,478,30,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
"12",577,77.4,10,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,487,32,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
"13",603,78.9,9.9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,514,27,10,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13
"14",536,78.5,10,3.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,59,437,31,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14
"15",494,79.7,9.1,2.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,420,23,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
